Scientific Name,Drugs.com URL,Adult Dosage,Pediatric Dosage,Renal Dose,Liver Dose,Dosage Context
ACYCLOVIR,https://www.drugs.com/dosage/acyclovir.html,Herpes Simplex - Mucocutaneous/Immunocompetent Host | Herpes Simplex - Mucocutaneous/Immunocompromised Host | Herpes Simplex Encephalitis | Herpes Zoster | Varicella-Zoster | Herpes Simplex Labialis | Herpes Simplex - Suppression | Varicella-Zoster - Prophylaxis | Herpes Zoster - Prophylaxis,Herpes Simplex - Congenital | Herpes Simplex - Mucocutaneous/Immunocompetent Host | Herpes Simplex Encephalitis | Herpes Simplex - Mucocutaneous/Immunocompromised Host | Herpes Zoster | Varicella-Zoster | Herpes Simplex - Suppression | Herpes Simplex Labialis | Herpes Zoster - Prophylaxis | Varicella-Zoster - Prophylaxis |,,,[Adult] Herpes Simplex - Mucocutaneous/Immunocompetent Host | Herpes Simplex - Mucocutaneous/Immunocompromised Host | Herpes Simplex Encephalitis | Herpes Zoster | Varicella-Zoster | Herpes Simplex Labialis | Herpes Simplex - Suppression | Varicella-Zoster - Prophylaxis | Herpes Zoster - Prophylaxis // [Pediatric] Herpes Simplex - Congenital | Herpes Simplex - Mucocutaneous/Immunocompetent Host | Herpes Simplex Encephalitis | Herpes Simplex - Mucocutaneous/Immunocompromised Host | Herpes Zoster | Varicella-Zoster | Herpes Simplex - Suppression | Herpes Simplex Labialis | Herpes Zoster - Prophylaxis | Varicella-Zoster - Prophylaxis |
ALLOPURINOL,https://www.drugs.com/dosage/allopurinol.html,Gout | Hyperuricemia Secondary to Chemotherapy | Calcium Oxalate Calculi with Hyperuricosuria,Hyperuricemia Secondary to Chemotherapy | Lesch-Nyhan Syndrome |,,,[Adult] Gout | Hyperuricemia Secondary to Chemotherapy | Calcium Oxalate Calculi with Hyperuricosuria // [Pediatric] Hyperuricemia Secondary to Chemotherapy | Lesch-Nyhan Syndrome |
VORTIOXETINE,https://www.drugs.com/dosage/vortioxetine.html,Depression | Major Depressive Disorder |,,,,[Adult] Depression | Major Depressive Disorder |
INSULIN ASPART,https://www.drugs.com/dosage/insulin-aspart.html,Diabetes Type 1 | Diabetes Type 2 | Diabetic Ketoacidosis | Nonketotic Hyperosmolar Syndrome | Hyperkalemia,Diabetes Type 1 |,,,[Adult] Diabetes Type 1 | Diabetes Type 2 | Diabetic Ketoacidosis | Nonketotic Hyperosmolar Syndrome | Hyperkalemia // [Pediatric] Diabetes Type 1 |
REMDESIVIR,https://www.drugs.com/dosage/remdesivir.html,COVID-19,COVID-19 |,,,[Adult] COVID-19 // [Pediatric] COVID-19 |
TOPOTECAN,https://www.drugs.com/dosage/topotecan.html,Ovarian Cancer | Cervical Cancer | Small Cell Lung Cancer |,,,,[Adult] Ovarian Cancer | Cervical Cancer | Small Cell Lung Cancer |
LUSPATERCEPT,https://www.drugs.com/dosage/luspatercept.html,Anemia | Thalassemia |,,,,[Adult] Anemia | Thalassemia |
CISPLATIN,https://www.drugs.com/dosage/cisplatin.html,Testicular Cancer | Ovarian Cancer | Bladder Cancer,Testicular Cancer | Ovarian Cancer | Bladder Cancer |,,,[Adult] Testicular Cancer | Ovarian Cancer | Bladder Cancer // [Pediatric] Testicular Cancer | Ovarian Cancer | Bladder Cancer |
OFATUMUMAB,https://www.drugs.com/dosage/ofatumumab.html,Chronic Lymphocytic Leukemia | Multiple Sclerosis |,,,,[Adult] Chronic Lymphocytic Leukemia | Multiple Sclerosis |
TENOFOVIR DISOPROXIL,https://www.drugs.com/dosage/tenofovir-disoproxil.html,HIV Infection | Chronic Hepatitis B | Occupational Exposure | Nonoccupational Exposure,HIV Infection | Chronic Hepatitis B | Nonoccupational Exposure |,,,[Adult] HIV Infection | Chronic Hepatitis B | Occupational Exposure | Nonoccupational Exposure // [Pediatric] HIV Infection | Chronic Hepatitis B | Nonoccupational Exposure |
IBUPROFEN,https://www.drugs.com/dosage/ibuprofen.html,Dysmenorrhea | Osteoarthritis | Rheumatoid Arthritis | Pain | Fever,Fever | Pain | Juvenile Rheumatoid Arthritis | Patent Ductus Arteriosus | Dysmenorrhea |,,,[Adult] Dysmenorrhea | Osteoarthritis | Rheumatoid Arthritis | Pain | Fever // [Pediatric] Fever | Pain | Juvenile Rheumatoid Arthritis | Patent Ductus Arteriosus | Dysmenorrhea |
CLOBAZAM,https://www.drugs.com/dosage/clobazam.html,Lennox-Gastaut Syndrome,Lennox-Gastaut Syndrome |,,,[Adult] Lennox-Gastaut Syndrome // [Pediatric] Lennox-Gastaut Syndrome |
IRON DEXTRAN,https://www.drugs.com/dosage/iron-dextran.html,Iron Deficiency Anemia | Anemia Associated with Chronic Renal Failure,Iron Deficiency Anemia |,,,[Adult] Iron Deficiency Anemia | Anemia Associated with Chronic Renal Failure // [Pediatric] Iron Deficiency Anemia |
LISINOPRIL,https://www.drugs.com/dosage/lisinopril.html,Hypertension | Congestive Heart Failure | Myocardial Infarction | Diabetic Nephropathy,Hypertension |,,,[Adult] Hypertension | Congestive Heart Failure | Myocardial Infarction | Diabetic Nephropathy // [Pediatric] Hypertension |
ZANUBRUTINIB,https://www.drugs.com/dosage/zanubrutinib.html,Mantle Cell Lymphoma | Marginal Zone Lymphoma | Chronic Lymphocytic Leukemia | Waldenstrom's Macroglobulinemia | Follicular Lymphoma |,,,,[Adult] Mantle Cell Lymphoma | Marginal Zone Lymphoma | Chronic Lymphocytic Leukemia | Waldenstrom's Macroglobulinemia | Follicular Lymphoma |
SOMATROPIN,https://www.drugs.com/dosage/somatropin.html,Adult Human Growth Hormone Deficiency | Cachexia | Short Bowel Syndrome,Pediatric Growth Hormone Deficiency | Turner Syndrome | Idiopathic Short Stature | Growth Retardation - Chronic Renal Failure | Noonan's Syndrome | Short Stature for Age | Cachexia |,,,[Adult] Adult Human Growth Hormone Deficiency | Cachexia | Short Bowel Syndrome // [Pediatric] Pediatric Growth Hormone Deficiency | Turner Syndrome | Idiopathic Short Stature | Growth Retardation - Chronic Renal Failure | Noonan's Syndrome | Short Stature for Age | Cachexia |
HYDROCORTISONE,https://www.drugs.com/dosage/hydrocortisone.html,Adrenocortical Insufficiency | Anti-inflammatory | Sepsis | Asthma | Ulcerative Colitis | Ulcerative Proctitis,Adrenocortical Insufficiency | Anti-inflammatory |,,,[Adult] Adrenocortical Insufficiency | Anti-inflammatory | Sepsis | Asthma | Ulcerative Colitis | Ulcerative Proctitis // [Pediatric] Adrenocortical Insufficiency | Anti-inflammatory |
ASFOTASE ALFA,https://www.drugs.com/dosage/asfotase-alfa.html,Hypophosphatasia,Hypophosphatasia |,,,[Adult] Hypophosphatasia // [Pediatric] Hypophosphatasia |
GADODIAMIDE,https://www.drugs.com/dosage/gadodiamide.html,CNS Magnetic Resonance Imaging | Vascular Magnetic Resonance Imaging,CNS Magnetic Resonance Imaging | Vascular Magnetic Resonance Imaging |,,,[Adult] CNS Magnetic Resonance Imaging | Vascular Magnetic Resonance Imaging // [Pediatric] CNS Magnetic Resonance Imaging | Vascular Magnetic Resonance Imaging |
IOHEXOL,https://www.drugs.com/dosage/iohexol.html,Myelography | Angiocardiography | Visceral Arteriography | Aortography | Cerebral Arteriography | Head Imaging | Digital Subtraction Angiography | Peripheral Angiography | Urography | Gastrointestinal Tract Examination | Body Imaging | Arthrography | Hysterosalpingography,Myelography | Angiocardiography | Aortography | Visceral Arteriography | Head Imaging | Cystourethrography | Gastrointestinal Tract Examination |,,,[Adult] Myelography | Angiocardiography | Visceral Arteriography | Aortography | Cerebral Arteriography | Head Imaging | Digital Subtraction Angiography | Peripheral Angiography | Urography | Gastrointestinal Tract Examination | Body Imaging | Arthrography | Hysterosalpingography // [Pediatric] Myelography | Angiocardiography | Aortography | Visceral Arteriography | Head Imaging | Cystourethrography | Gastrointestinal Tract Examination |
PEMBROLIZUMAB,https://www.drugs.com/dosage/pembrolizumab.html,Melanoma - Metastatic | Malignant Melanoma | Non-Small Cell Lung Cancer | Head and Neck Cancer | Hodgkin's Disease | Lymphoma | Urothelial Carcinoma | Bladder Cancer | Solid Tumors | Colorectal Cancer | Gastric Cancer | Esophageal Carcinoma | Cervical Cancer | Hepatocellular Carcinoma | Cholangiocarcinoma of biliary tract | Merkel Cell Carcinoma | Renal Cell Carcinoma | Endometrial Carcinoma | Squamous Cell Carcinoma | Breast Cancer,Hodgkin's Disease | Lymphoma | Merkel Cell Carcinoma | Solid Tumors | Malignant Melanoma | Melanoma - Metastatic |,,,[Adult] Melanoma - Metastatic | Malignant Melanoma | Non-Small Cell Lung Cancer | Head and Neck Cancer | Hodgkin's Disease | Lymphoma | Urothelial Carcinoma | Bladder Cancer | Solid Tumors | Colorectal Cancer | Gastric Cancer | Esophageal Carcinoma | Cervical Cancer | Hepatocellular Carcinoma | Cholangiocarcinoma of biliary tract | Merkel Cell Carcinoma | Renal Cell Carcinoma | Endometrial Carcinoma | Squamous Cell Carcinoma | Breast Cancer // [Pediatric] Hodgkin's Disease | Lymphoma | Merkel Cell Carcinoma | Solid Tumors | Malignant Melanoma | Melanoma - Metastatic |
MERCAPTOPURINE,https://www.drugs.com/dosage/mercaptopurine.html,Acute Lymphoblastic Leukemia,Intestinal Arterial Insufficiency | Acute Lymphoblastic Leukemia |,,,[Adult] Acute Lymphoblastic Leukemia // [Pediatric] Intestinal Arterial Insufficiency | Acute Lymphoblastic Leukemia |
"LAMIVUDINE, ZIDOVUDINE",https://www.drugs.com/dosage/lamivudine-zidovudine.html,HIV Infection | Nonoccupational Exposure | Occupational Exposure,HIV Infection |,,,[Adult] HIV Infection | Nonoccupational Exposure | Occupational Exposure // [Pediatric] HIV Infection |
TOFACITINIB,https://www.drugs.com/dosage/tofacitinib.html,Rheumatoid Arthritis | Psoriatic Arthritis | Ankylosing Spondylitis | Ulcerative Colitis,Juvenile Idiopathic Arthritis |,,,[Adult] Rheumatoid Arthritis | Psoriatic Arthritis | Ankylosing Spondylitis | Ulcerative Colitis // [Pediatric] Juvenile Idiopathic Arthritis |
TETRACYCLINE,https://www.drugs.com/dosage/tetracycline.html,Acne | Bronchitis | Brucellosis | Chlamydia Infection | Helicobacter pylori Infection | Lyme Disease - Arthritis | Lyme Disease - Carditis | Lyme Disease - Erythema Chronicum Migrans | Lyme Disease - Neurologic | Pneumonia | Rickettsial Infection | Upper Respiratory Tract Infection | Ornithosis | Psittacosis | Syphilis - Early | Syphilis - Latent | Tertiary Syphilis | Nongonococcal Urethritis | Gonococcal Infection - Uncomplicated | Cystitis | Epididymitis - Sexually Transmitted | Lymphogranuloma Venereum | Pelvic Inflammatory Disease,Bacterial Infection |,,,[Adult] Acne | Bronchitis | Brucellosis | Chlamydia Infection | Helicobacter pylori Infection | Lyme Disease - Arthritis | Lyme Disease - Carditis | Lyme Disease - Erythema Chronicum Migrans | Lyme Disease - Neurologic | Pneumonia | Rickettsial Infection | Upper Respiratory Tract Infection | Ornithosis | Psittacosis | Syphilis - Early | Syphilis - Latent | Tertiary Syphilis | Nongonococcal Urethritis | Gonococcal Infection - Uncomplicated | Cystitis | Epididymitis - Sexually Transmitted | Lymphogranuloma Venereum | Pelvic Inflammatory Disease // [Pediatric] Bacterial Infection |
NIVOLUMAB,https://www.drugs.com/dosage/nivolumab.html,Melanoma - Metastatic | Non-Small Cell Lung Cancer | Malignant Pleural Mesothelioma | Renal Cell Carcinoma | Hodgkin's Disease | Head and Neck Cancer | Urothelial Carcinoma | Colorectal Cancer | Hepatocellular Carcinoma | Esophageal Carcinoma | Gastric Cancer,Colorectal Cancer |,,,[Adult] Melanoma - Metastatic | Non-Small Cell Lung Cancer | Malignant Pleural Mesothelioma | Renal Cell Carcinoma | Hodgkin's Disease | Head and Neck Cancer | Urothelial Carcinoma | Colorectal Cancer | Hepatocellular Carcinoma | Esophageal Carcinoma | Gastric Cancer // [Pediatric] Colorectal Cancer |
DURVALUMAB,https://www.drugs.com/dosage/durvalumab.html,Urothelial Carcinoma | Non-Small Cell Lung Cancer | Small Cell Lung Cancer |,,,,[Adult] Urothelial Carcinoma | Non-Small Cell Lung Cancer | Small Cell Lung Cancer |
CIPROFLOXACIN,https://www.drugs.com/dosage/ciprofloxacin.html,Inhalation Bacillus anthracis | Cutaneous Bacillus anthracis | Anthrax Prophylaxis | Febrile Neutropenia | Intraabdominal Infection | Joint Infection | Osteomyelitis | Plague | Plague Prophylaxis | Nosocomial Pneumonia | Pneumonia | Bronchitis | Skin or Soft Tissue Infection | Skin and Structure Infection | Infectious Diarrhea | Shigellosis | Sinusitis | Salmonella Enteric Fever | Salmonella Gastroenteritis | Typhoid Fever | Urinary Tract Infection | Pyelonephritis | Cystitis | Prostatitis | Gonococcal Infection - Uncomplicated | Meningococcal Meningitis Prophylaxis | Tularemia | Chancroid | Granuloma Inguinale | Surgical Prophylaxis,Anthrax Prophylaxis | Cutaneous Bacillus anthracis | Inhalation Bacillus anthracis | Urinary Tract Infection | Pyelonephritis | Plague Prophylaxis | Plague | Tularemia | Surgical Prophylaxis | Shigellosis | Salmonella Gastroenteritis | Salmonella Enteric Fever | Pneumonia with Cystic Fibrosis |,,,[Adult] Inhalation Bacillus anthracis | Cutaneous Bacillus anthracis | Anthrax Prophylaxis | Febrile Neutropenia | Intraabdominal Infection | Joint Infection | Osteomyelitis | Plague | Plague Prophylaxis | Nosocomial Pneumonia | Pneumonia | Bronchitis | Skin or Soft Tissue Infection | Skin and Structure Infection | Infectious Diarrhea | Shigellosis | Sinusitis | Salmonella Enteric Fever | Salmonella Gastroenteritis | Typhoid Fever | Urinary Tract Infection | Pyelonephritis | Cystitis | Prostatitis | Gonococcal Infection - Uncomplicated | Meningococcal Meningitis Prophylaxis | Tularemia | Chancroid | Granuloma Inguinale | Surgical Prophylaxis // [Pediatric] Anthrax Prophylaxis | Cutaneous Bacillus anthracis | Inhalation Bacillus anthracis | Urinary Tract Infection | Pyelonephritis | Plague Prophylaxis | Plague | Tularemia | Surgical Prophylaxis | Shigellosis | Salmonella Gastroenteritis | Salmonella Enteric Fever | Pneumonia with Cystic Fibrosis |
POLATUZUMAB VEDOTIN,https://www.drugs.com/dosage/polatuzumab-vedotin.html,Lymphoma |,,,,[Adult] Lymphoma |
CHLORAMPHENICOL,https://www.drugs.com/dosage/chloramphenicol.html,Ornithosis | Bacteremia | Meningitis | Rickettsial Infection | Bacterial Infection | Cystic Fibrosis | Typhoid Fever | Gram Negative Infection | Psittacosis | Inhalation Bacillus anthracis | Cutaneous Bacillus anthracis | Plague | Tularemia,Bacteremia | Meningitis | Rickettsial Infection | Bacterial Infection | Cystic Fibrosis | Typhoid Fever | Gram Negative Infection | Psittacosis | Ornithosis | Inhalation Bacillus anthracis | Cutaneous Bacillus anthracis | Plague | Tularemia |,,,[Adult] Ornithosis | Bacteremia | Meningitis | Rickettsial Infection | Bacterial Infection | Cystic Fibrosis | Typhoid Fever | Gram Negative Infection | Psittacosis | Inhalation Bacillus anthracis | Cutaneous Bacillus anthracis | Plague | Tularemia // [Pediatric] Bacteremia | Meningitis | Rickettsial Infection | Bacterial Infection | Cystic Fibrosis | Typhoid Fever | Gram Negative Infection | Psittacosis | Ornithosis | Inhalation Bacillus anthracis | Cutaneous Bacillus anthracis | Plague | Tularemia |
CEFPROZIL,https://www.drugs.com/dosage/cefprozil.html,Bronchitis | Cystitis | Otitis Media | Pneumonia | Pyelonephritis | Sinusitis | Skin or Soft Tissue Infection | Tonsillitis/Pharyngitis | Upper Respiratory Tract Infection,Otitis Media | Sinusitis | Skin or Soft Tissue Infection | Tonsillitis/Pharyngitis |,,,[Adult] Bronchitis | Cystitis | Otitis Media | Pneumonia | Pyelonephritis | Sinusitis | Skin or Soft Tissue Infection | Tonsillitis/Pharyngitis | Upper Respiratory Tract Infection // [Pediatric] Otitis Media | Sinusitis | Skin or Soft Tissue Infection | Tonsillitis/Pharyngitis |
ICATIBANT,https://www.drugs.com/dosage/icatibant.html,Hereditary Angioedema |,,,,[Adult] Hereditary Angioedema |
OMEPRAZOLE,https://www.drugs.com/dosage/omeprazole.html,Duodenal Ulcer | Helicobacter pylori Infection | Gastric Ulcer | Erosive Esophagitis | Multiple Endocrine Adenomas | Systemic Mastocytosis | Zollinger-Ellison Syndrome | Hypersecretory Conditions | Gastroesophageal Reflux Disease | Dyspepsia,Gastroesophageal Reflux Disease | Erosive Esophagitis |,,,[Adult] Duodenal Ulcer | Helicobacter pylori Infection | Gastric Ulcer | Erosive Esophagitis | Multiple Endocrine Adenomas | Systemic Mastocytosis | Zollinger-Ellison Syndrome | Hypersecretory Conditions | Gastroesophageal Reflux Disease | Dyspepsia // [Pediatric] Gastroesophageal Reflux Disease | Erosive Esophagitis |
MARAVIROC,https://www.drugs.com/dosage/maraviroc.html,HIV Infection,HIV Infection |,,,[Adult] HIV Infection // [Pediatric] HIV Infection |
BERACTANT,https://www.drugs.com/dosage/beractant.html,,Respiratory Distress Syndrome |,,,[Pediatric] Respiratory Distress Syndrome |
GILTERITINIB,https://www.drugs.com/dosage/gilteritinib.html,Acute Myeloid Leukemia |,,,,[Adult] Acute Myeloid Leukemia |
CEFTIZOXIME,https://www.drugs.com/dosage/ceftizoxime.html,Bacteremia | Cystitis | Epiglottitis | Gonococcal Infection - Disseminated | Gonococcal Infection - Uncomplicated | Intraabdominal Infection | Joint Infection | Meningitis | Osteomyelitis | Pelvic Inflammatory Disease | Peritonitis | Pneumonia | Pyelonephritis | Skin or Soft Tissue Infection | Urinary Tract Infection |,,,,[Adult] Bacteremia | Cystitis | Epiglottitis | Gonococcal Infection - Disseminated | Gonococcal Infection - Uncomplicated | Intraabdominal Infection | Joint Infection | Meningitis | Osteomyelitis | Pelvic Inflammatory Disease | Peritonitis | Pneumonia | Pyelonephritis | Skin or Soft Tissue Infection | Urinary Tract Infection |
ADALIMUMAB,https://www.drugs.com/dosage/adalimumab.html,Rheumatoid Arthritis | Ankylosing Spondylitis | Psoriatic Arthritis | Crohn's Disease - Acute | Crohn's Disease - Maintenance | Ulcerative Colitis | Plaque Psoriasis | Uveitis | Hidradenitis Suppurativa,Juvenile Idiopathic Arthritis | Crohn's Disease - Acute | Crohn's Disease - Maintenance | Uveitis | Hidradenitis Suppurativa |,,,[Adult] Rheumatoid Arthritis | Ankylosing Spondylitis | Psoriatic Arthritis | Crohn's Disease - Acute | Crohn's Disease - Maintenance | Ulcerative Colitis | Plaque Psoriasis | Uveitis | Hidradenitis Suppurativa // [Pediatric] Juvenile Idiopathic Arthritis | Crohn's Disease - Acute | Crohn's Disease - Maintenance | Uveitis | Hidradenitis Suppurativa |
PEGCETACOPLAN,https://www.drugs.com/dosage/pegcetacoplan.html,Paroxysmal Nocturnal Hemoglobinuria |,,,,[Adult] Paroxysmal Nocturnal Hemoglobinuria |
ERYTHROMYCIN,https://www.drugs.com/dosage/erythromycin.html,Amebiasis | Campylobacter Gastroenteritis | Mycoplasma Pneumonia | Otitis Media | Pharyngitis | Pneumonia | Skin or Soft Tissue Infection | Upper Respiratory Tract Infection | Bronchitis | Diphtheria | Gastroenteritis | Legionella Pneumonia | Bacterial Endocarditis Prophylaxis | Rheumatic Fever Prophylaxis | Nongonococcal Urethritis | Chlamydia Infection | Pertussis | Pelvic Inflammatory Disease | Syphilis - Early | Bowel Preparation | Bacteremia | Osteomyelitis | Bartonellosis | Impetigo | Lyme Disease | Skin and Structure Infection | Chancroid | Granuloma Inguinale | Lymphogranuloma Venereum,Pneumonia | Skin or Soft Tissue Infection | Upper Respiratory Tract Infection | Bronchitis | Diphtheria | Gastroenteritis | Pharyngitis | Otitis Media | Mycoplasma Pneumonia | Campylobacter Gastroenteritis | Amebiasis | Bacterial Endocarditis Prophylaxis | Rheumatic Fever Prophylaxis | Chlamydia Infection | Nongonococcal Urethritis | Pertussis | Bacterial Infection | Bacteremia | Osteomyelitis | Bartonellosis | Impetigo | Lyme Disease | Surgical Prophylaxis | Skin and Structure Infection | Chancroid | Granuloma Inguinale | Lymphogranuloma Venereum |,,,[Adult] Amebiasis | Campylobacter Gastroenteritis | Mycoplasma Pneumonia | Otitis Media | Pharyngitis | Pneumonia | Skin or Soft Tissue Infection | Upper Respiratory Tract Infection | Bronchitis | Diphtheria | Gastroenteritis | Legionella Pneumonia | Bacterial Endocarditis Prophylaxis | Rheumatic Fever Prophylaxis | Nongonococcal Urethritis | Chlamydia Infection | Pertussis | Pelvic Inflammatory Disease | Syphilis - Early | Bowel Preparation | Bacteremia | Osteomyelitis | Bartonellosis | Impetigo | Lyme Disease | Skin and Structure Infection | Chancroid | Granuloma Inguinale | Lymphogranuloma Venereum // [Pediatric] Pneumonia | Skin or Soft Tissue Infection | Upper Respiratory Tract Infection | Bronchitis | Diphtheria | Gastroenteritis | Pharyngitis | Otitis Media | Mycoplasma Pneumonia | Campylobacter Gastroenteritis | Amebiasis | Bacterial Endocarditis Prophylaxis | Rheumatic Fever Prophylaxis | Chlamydia Infection | Nongonococcal Urethritis | Pertussis | Bacterial Infection | Bacteremia | Osteomyelitis | Bartonellosis | Impetigo | Lyme Disease | Surgical Prophylaxis | Skin and Structure Infection | Chancroid | Granuloma Inguinale | Lymphogranuloma Venereum |
